device_family,temperature_k,bias_v,baseline_case_id,refined_case_id,metric,unit,baseline_value,refined_value,absolute_difference,relative_difference_pct,formula,gate_value,threshold,status,baseline_json,baseline_fields_csv,refined_json,refined_fields_csv
IGBT,298.15,550.0,IGBT_T298_V550_L15,VAL_IGBT_T298_V550_L15_track_refined,tmax_k,K,300.386549973,300.465990542,0.07944056899998486,0.026446113851344315,abs(refined-baseline)/abs(baseline)*100,0.026446113851344315,5.0,PASS,local_runtime\tcad_projects\igbt_mosfet_seb_paper_20260714\extracts\IGBT_T298_V550_L15_2ns.json,local_runtime\tcad_projects\igbt_mosfet_seb_paper_20260714\extracts\IGBT_T298_V550_L15_2ns_fields.csv,local_runtime\tcad_projects\igbt_mosfet_seb_paper_20260714\extracts\VAL_IGBT_T298_V550_L15_track_refined_2ns.json,local_runtime\tcad_projects\igbt_mosfet_seb_paper_20260714\extracts\VAL_IGBT_T298_V550_L15_track_refined_2ns_fields.csv
IGBT,298.15,550.0,IGBT_T298_V550_L15,VAL_IGBT_T298_V550_L15_track_refined,terminal_collected_charge_pc_um,pC/um,0.0015667171079054242,0.0015812657826199594,1.4548674714535189e-05,0.9286089135763385,abs(refined-baseline)/abs(baseline)*100,0.9286089135763385,5.0,PASS,local_runtime\tcad_projects\igbt_mosfet_seb_paper_20260714\extracts\IGBT_T298_V550_L15_2ns.json,local_runtime\tcad_projects\igbt_mosfet_seb_paper_20260714\extracts\IGBT_T298_V550_L15_2ns_fields.csv,local_runtime\tcad_projects\igbt_mosfet_seb_paper_20260714\extracts\VAL_IGBT_T298_V550_L15_track_refined_2ns.json,local_runtime\tcad_projects\igbt_mosfet_seb_paper_20260714\extracts\VAL_IGBT_T298_V550_L15_track_refined_2ns_fields.csv
IGBT,298.15,550.0,IGBT_T298_V550_L15,VAL_IGBT_T298_V550_L15_track_refined,terminal_energy_j_um,J/um,9.268326177934994e-13,9.37152997148555e-13,1.0320379355055554e-14,1.1135105904694176,abs(refined-baseline)/abs(baseline)*100,1.1135105904694176,5.0,PASS,local_runtime\tcad_projects\igbt_mosfet_seb_paper_20260714\extracts\IGBT_T298_V550_L15_2ns.json,local_runtime\tcad_projects\igbt_mosfet_seb_paper_20260714\extracts\IGBT_T298_V550_L15_2ns_fields.csv,local_runtime\tcad_projects\igbt_mosfet_seb_paper_20260714\extracts\VAL_IGBT_T298_V550_L15_track_refined_2ns.json,local_runtime\tcad_projects\igbt_mosfet_seb_paper_20260714\extracts\VAL_IGBT_T298_V550_L15_track_refined_2ns_fields.csv
IGBT,298.15,550.0,IGBT_T298_V550_L15,VAL_IGBT_T298_V550_L15_track_refined,emax_v_cm,V/cm,145841.603695,145835.800219,5.8034760000009555,0.003979300729672325,abs(refined-baseline)/abs(baseline)*100,0.003979300729672325,10.0,PASS,local_runtime\tcad_projects\igbt_mosfet_seb_paper_20260714\extracts\IGBT_T298_V550_L15_2ns.json,local_runtime\tcad_projects\igbt_mosfet_seb_paper_20260714\extracts\IGBT_T298_V550_L15_2ns_fields.csv,local_runtime\tcad_projects\igbt_mosfet_seb_paper_20260714\extracts\VAL_IGBT_T298_V550_L15_track_refined_2ns.json,local_runtime\tcad_projects\igbt_mosfet_seb_paper_20260714\extracts\VAL_IGBT_T298_V550_L15_track_refined_2ns_fields.csv
IGBT,298.15,550.0,IGBT_T298_V550_L15,VAL_IGBT_T298_V550_L15_track_refined,hotspot_interface_distance_um,um,167.55014392527815,167.55014392527815,0.0,NA,abs(refined-baseline),0.0,0.01,PASS,local_runtime\tcad_projects\igbt_mosfet_seb_paper_20260714\extracts\IGBT_T298_V550_L15_2ns.json,local_runtime\tcad_projects\igbt_mosfet_seb_paper_20260714\extracts\IGBT_T298_V550_L15_2ns_fields.csv,local_runtime\tcad_projects\igbt_mosfet_seb_paper_20260714\extracts\VAL_IGBT_T298_V550_L15_track_refined_2ns.json,local_runtime\tcad_projects\igbt_mosfet_seb_paper_20260714\extracts\VAL_IGBT_T298_V550_L15_track_refined_2ns_fields.csv
MOSFET,298.15,550.0,MOSFET_T298_V550_L15,VAL_MOSFET_T298_V550_L15_track_refined,tmax_k,K,298.868790661,298.902383269,0.0335926079999922,0.011239918335299024,abs(refined-baseline)/abs(baseline)*100,0.011239918335299024,5.0,PASS,local_runtime\tcad_projects\igbt_mosfet_seb_paper_20260714\extracts\MOSFET_T298_V550_L15_2ns.json,local_runtime\tcad_projects\igbt_mosfet_seb_paper_20260714\extracts\MOSFET_T298_V550_L15_2ns_fields.csv,local_runtime\tcad_projects\igbt_mosfet_seb_paper_20260714\extracts\VAL_MOSFET_T298_V550_L15_track_refined_2ns.json,local_runtime\tcad_projects\igbt_mosfet_seb_paper_20260714\extracts\VAL_MOSFET_T298_V550_L15_track_refined_2ns_fields.csv
MOSFET,298.15,550.0,MOSFET_T298_V550_L15,VAL_MOSFET_T298_V550_L15_track_refined,terminal_collected_charge_pc_um,pC/um,0.0006983282792121974,0.0006966368238780615,1.6914553341359096e-06,0.2422149273467895,abs(refined-baseline)/abs(baseline)*100,0.2422149273467895,5.0,PASS,local_runtime\tcad_projects\igbt_mosfet_seb_paper_20260714\extracts\MOSFET_T298_V550_L15_2ns.json,local_runtime\tcad_projects\igbt_mosfet_seb_paper_20260714\extracts\MOSFET_T298_V550_L15_2ns_fields.csv,local_runtime\tcad_projects\igbt_mosfet_seb_paper_20260714\extracts\VAL_MOSFET_T298_V550_L15_track_refined_2ns.json,local_runtime\tcad_projects\igbt_mosfet_seb_paper_20260714\extracts\VAL_MOSFET_T298_V550_L15_track_refined_2ns_fields.csv
MOSFET,298.15,550.0,MOSFET_T298_V550_L15,VAL_MOSFET_T298_V550_L15_track_refined,terminal_energy_j_um,J/um,4.050095217514069e-13,4.0505947098686696e-13,4.994923546004878e-17,0.012332854606491797,abs(refined-baseline)/abs(baseline)*100,0.012332854606491797,5.0,PASS,local_runtime\tcad_projects\igbt_mosfet_seb_paper_20260714\extracts\MOSFET_T298_V550_L15_2ns.json,local_runtime\tcad_projects\igbt_mosfet_seb_paper_20260714\extracts\MOSFET_T298_V550_L15_2ns_fields.csv,local_runtime\tcad_projects\igbt_mosfet_seb_paper_20260714\extracts\VAL_MOSFET_T298_V550_L15_track_refined_2ns.json,local_runtime\tcad_projects\igbt_mosfet_seb_paper_20260714\extracts\VAL_MOSFET_T298_V550_L15_track_refined_2ns_fields.csv
MOSFET,298.15,550.0,MOSFET_T298_V550_L15,VAL_MOSFET_T298_V550_L15_track_refined,emax_v_cm,V/cm,145948.067419,145945.618766,2.4486529999994673,0.0016777563713602788,abs(refined-baseline)/abs(baseline)*100,0.0016777563713602788,10.0,PASS,local_runtime\tcad_projects\igbt_mosfet_seb_paper_20260714\extracts\MOSFET_T298_V550_L15_2ns.json,local_runtime\tcad_projects\igbt_mosfet_seb_paper_20260714\extracts\MOSFET_T298_V550_L15_2ns_fields.csv,local_runtime\tcad_projects\igbt_mosfet_seb_paper_20260714\extracts\VAL_MOSFET_T298_V550_L15_track_refined_2ns.json,local_runtime\tcad_projects\igbt_mosfet_seb_paper_20260714\extracts\VAL_MOSFET_T298_V550_L15_track_refined_2ns_fields.csv
MOSFET,298.15,550.0,MOSFET_T298_V550_L15,VAL_MOSFET_T298_V550_L15_track_refined,hotspot_interface_distance_um,um,177.24854935538357,177.24854935538357,0.0,NA,abs(refined-baseline),0.0,0.01,PASS,local_runtime\tcad_projects\igbt_mosfet_seb_paper_20260714\extracts\MOSFET_T298_V550_L15_2ns.json,local_runtime\tcad_projects\igbt_mosfet_seb_paper_20260714\extracts\MOSFET_T298_V550_L15_2ns_fields.csv,local_runtime\tcad_projects\igbt_mosfet_seb_paper_20260714\extracts\VAL_MOSFET_T298_V550_L15_track_refined_2ns.json,local_runtime\tcad_projects\igbt_mosfet_seb_paper_20260714\extracts\VAL_MOSFET_T298_V550_L15_track_refined_2ns_fields.csv
